Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cholesterol (mg),Serving Unit,Serving Weight (g),Calories per Serving,Protein per Serving (g)
Papdi,708.96,12.89,1.83,72.11,0.31,0.56,28.91,6.06,0.44,0.04,5.01,0.0,100g portion,100,709.0,1.8
Jowar dosa,294.35,40.53,8.5,10.28,0.59,5.56,97.25,19.46,2.03,0.0,9.63,0.0,1 medium piece,120,353.2,10.2
Bread roll,435.46,16.12,2.85,40.25,0.94,1.45,139.34,44.83,0.71,6.79,15.69,0.0,100g portion,100,435.5,2.8
Soya seekh kebab,115.05,10.0,5.4,5.88,0.51,2.24,92.25,15.67,1.26,8.56,14.38,0.0,100g portion,100,115.0,5.4
Classic seasoned black beans,28.78,7.66,8.01,8.28,0.44,3.51,7989.07,40.11,1.9,8.54,4.61,0.0,1 glass,250,72.0,20.0
Maa chaane ki dal,344.67,43.11,19.8,9.5,1.05,13.45,43.31,68.65,5.97,1.43,102.41,15.36,1 katori (bowl),150,517.0,29.7
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,13.92,4.45,2.01,2.65,2.84,79.73,13.93,0.96,13.24,380.59,0.0,100g portion,100,89.5,4.4
White sauce (thin),115.17,6.58,3.31,8.41,4.58,0.07,23.91,110.2,0.19,,,11.04,100g portion,100,115.2,3.3
White sauce (medium),151.27,7.98,3.36,11.76,4.32,0.14,22.59,103.53,0.22,,,20.47,100g portion,100,151.3,3.4
White sauce (thick),209.69,10.24,3.43,17.19,3.9,0.24,20.45,92.74,0.27,,,35.72,100g portion,100,209.7,3.4
Cheese sauce,194.76,7.08,7.68,15.12,4.53,0.12,317.38,255.14,0.31,,,39.75,100g portion,100,194.8,7.7
Egg sauce,146.85,5.88,5.97,11.08,3.19,0.12,51.54,89.49,0.65,,,111.08,100g portion,100,146.8,6.0
Mushroom sauce,137.56,7.31,3.39,10.51,3.86,0.47,20.94,94.1,0.22,,,18.2,100g portion,100,137.6,3.4
Mustard sauce,158.58,8.29,3.98,12.17,4.22,0.13,22.16,109.03,0.44,,,19.97,100g portion,100,158.6,4.0
Brown sauce,109.18,5.38,11.92,23.67,0.13,1.69,14174.59,40.44,2.46,,,0.0,100g portion,100,109.2,11.9
Classic italian pasta,42.12,4.4,0.57,2.45,2.94,1.36,49.04,19.55,0.41,,,1.7,1 glass,250,105.3,1.4
Pasta spinach sauce,85.46,1.76,1.76,7.9,1.04,0.86,115.79,58.57,1.23,,,9.34,100g portion,100,85.5,1.8
Pasta cheese sauce,149.26,9.0,4.33,10.84,4.22,0.14,255.95,152.68,0.25,,,22.22,100g portion,100,149.3,4.3
Mayonnaise,774.86,1.65,1.86,84.52,1.44,0.11,272.89,15.36,0.51,,,117.12,100g portion,100,774.9,1.9
Low calorie quick mayonnaise,242.89,4.71,1.41,24.35,0.83,0.06,165.94,6.47,0.25,,,35.67,100g portion,100,242.9,1.4
Thousand island dressing,407.87,4.49,1.37,42.87,3.1,0.46,946.1,9.11,0.45,,,34.0,100g portion,100,407.9,1.4
Curd dip,79.95,7.95,5.04,3.36,7.12,0.1,301.07,167.17,0.25,,,10.59,100g portion,100,80.0,5.0
Short crust pastry,422.1,44.72,6.11,23.98,3.18,1.58,97.2,16.9,1.02,,,61.0,100g portion,100,422.1,6.1
Choux pastry,222.37,16.2,5.55,14.96,1.5,0.56,132.28,19.43,0.83,,,125.01,100g portion,100,222.4,5.6
Flaky pastry,443.94,33.61,4.69,31.99,0.81,1.25,178.52,9.28,0.83,,,0.0,100g portion,100,443.9,4.7
